[2025-02-15T11:59:30Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T12:00:48Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T12:02:45Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T15:06:39Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T15:21:44Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T17:03:38Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T17:04:39Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T17:53:42Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T17:54:09Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:06:38Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:14:23Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:35:53Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:41:43Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:42:32Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:42:46Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:46:58Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:47:51Z INFO  one_do_three one_do_three] Data operation: op=create_user, user=****, resource=user_store, success=true, timestamp=2025-02-15 19:47:51, details=Some("new user registration")
[2025-02-15T18:49:03Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:49:51Z INFO  one_do_three one_do_three] Data operation: op=create_user, user=bl***om, resource=user_store, success=true, timestamp=2025-02-15 19:49:51, details=Some("new user registration")
[2025-02-15T18:50:27Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:51:08Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-15T18:51:20Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-16T13:28:37Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-16T13:28:57Z INFO  one_do_three one_do_three] Data operation: op=create_user, user=****, resource=user_store, success=true, timestamp=2025-02-16 14:28:57, details=Some("new user registration")
[2025-02-16T14:49:57Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-16T14:50:17Z INFO  one_do_three one_do_three] Data operation: op=create_user, user=****, resource=user_store, success=true, timestamp=2025-02-16 15:50:17, details=Some("new user registration")
[2025-02-16T14:50:25Z WARN  one_do_three one_do_three] Auth event: type=login_attempt, user=****, success=false, timestamp=2025-02-16 15:50:25, details=Some("username not found")
[2025-02-16T14:50:33Z INFO  one_do_three one_do_three] Auth event: type=login, user=****, success=true, timestamp=2025-02-16 15:50:33, details=Some("successful password verification")
[2025-02-16T14:51:02Z INFO  one_do_three one_do_three] Logging system initialized
[2025-02-16T14:51:09Z INFO  one_do_three one_do_three] Auth event: type=login, user=****, success=true, timestamp=2025-02-16 15:51:09, details=Some("successful password verification")
[2025-02-16T14:51:26Z INFO  one_do_three one_do_three] Logging system initialized
